i,latency_ms,valid,bridge_ram_mb,system_ram_mb
0,5,true,0,
1,6,true,0,
2,6,true,0,
3,8,true,0,
4,8,true,0,
5,9,true,0,
6,9,true,0,
7,10,true,0,
8,11,true,0,
9,12,true,0,
10,10,true,0,
11,10,true,0,
12,11,true,0,
13,10,true,0,
14,9,true,0,
15,10,true,0,
16,11,true,0,
17,10,true,0,
18,11,true,0,
19,10,true,0,
20,10,true,0,
21,10,true,0,
22,10,true,0,
23,10,true,0,
24,10,true,0,
25,11,true,0,
26,10,true,0,
27,11,true,0,
28,11,true,0,
29,11,true,0,
30,11,true,0,
31,12,true,0,
32,12,true,0,
33,12,true,0,
34,13,true,0,
35,13,true,0,
36,13,true,0,
37,12,true,0,
38,12,true,0,
39,13,true,0,
40,13,true,0,
41,12,true,0,
42,12,true,0,
43,12,true,0,
44,11,true,0,
45,12,true,0,
46,10,true,0,
47,10,true,0,
48,9,true,0,
49,11,true,0,
50,19,true,0,
51,20,true,0,
52,21,true,0,
53,21,true,0,
54,20,true,0,
55,20,true,0,
56,19,true,0,
57,20,true,0,
58,19,true,0,
59,9,true,0,
60,9,true,0,
61,9,true,0,
62,9,true,0,
63,9,true,0,
64,9,true,0,
65,9,true,0,
66,9,true,0,
67,10,true,0,
68,10,true,0,
69,11,true,0,
70,10,true,0,
71,10,true,0,
72,10,true,0,
73,11,true,0,
74,12,true,0,
75,11,true,0,
76,11,true,0,
77,11,true,0,
78,11,true,0,
79,11,true,0,
80,11,true,0,
81,11,true,0,
82,10,true,0,
83,11,true,0,
84,10,true,0,
85,10,true,0,
86,9,true,0,
87,10,true,0,
88,10,true,0,
89,10,true,0,
90,10,true,0,
91,10,true,0,
92,9,true,0,
93,9,true,0,
94,9,true,0,
95,9,true,0,
96,10,true,0,
97,9,true,0,
98,9,true,0,
99,9,true,0,
100,9,true,0,
101,9,true,0,
102,9,true,0,
103,10,true,0,
104,9,true,0,
105,10,true,0,
106,11,true,0,
107,11,true,0,
108,11,true,0,
109,10,true,0,
110,10,true,0,
111,9,true,0,
112,10,true,0,
113,9,true,0,
114,9,true,0,
115,10,true,0,
116,9,true,0,
117,9,true,0,
118,10,true,0,
119,10,true,0,
120,11,true,0,
121,12,true,0,
122,11,true,0,
123,12,true,0,
124,11,true,0,
125,13,true,0,
126,13,true,0,
127,106,true,73,
128,107,true,73,
129,106,true,73,
130,105,true,73,
131,105,true,73,
132,105,true,73,
133,105,true,73,
134,104,true,73,
135,103,true,73,
136,103,true,73,
137,9,true,73,
138,10,true,73,
139,9,true,73,
140,9,true,73,
141,8,true,73,
142,9,true,73,
143,9,true,73,
144,9,true,73,
145,9,true,73,
146,10,true,73,
147,8,true,73,
148,9,true,73,
151,8,true,73,
149,10,true,73,
150,10,true,73,
152,8,true,73,
153,9,true,73,
154,9,true,73,
155,8,true,73,
156,8,true,73,
157,9,true,73,
158,9,true,73,
159,8,true,73,
160,9,true,73,
161,8,true,73,
162,8,true,73,
163,9,true,73,
164,9,true,73,
165,9,true,73,
166,9,true,73,
167,10,true,73,
168,9,true,73,
171,9,true,73,
169,11,true,73,
170,10,true,73,
172,10,true,73,
173,10,true,73,
174,10,true,73,
175,10,true,73,
176,10,true,73,
177,10,true,73,
178,9,true,73,
179,10,true,73,
180,10,true,73,
181,9,true,73,
182,9,true,73,
183,9,true,73,
184,8,true,73,
185,9,true,73,
186,9,true,73,
187,8,true,73,
188,108,true,73,
189,108,true,73,
190,107,true,73,
191,108,true,73,
192,109,true,73,
193,109,true,73,
194,110,true,73,
195,110,true,73,
196,110,true,73,
197,113,true,73,
198,13,true,73,
199,13,true,73,
200,13,true,73,
201,13,true,73,
202,12,true,73,
203,12,true,73,
204,11,true,73,
205,10,true,73,
206,12,true,73,
207,10,true,73,
208,10,true,73,
209,10,true,73,
210,10,true,73,
211,11,true,73,
212,12,true,73,
213,12,true,73,
214,12,true,73,
215,12,true,73,
216,10,true,73,
217,11,true,73,
218,11,true,73,
219,11,true,73,
220,11,true,73,
221,10,true,73,
222,11,true,73,
231,3,true,73,
223,11,true,73,
224,11,true,73,
225,11,true,73,
226,11,true,73,
227,11,true,73,
228,10,true,73,
229,11,true,73,
230,11,true,73,
232,8,true,73,
233,8,true,73,
234,9,true,73,
235,8,true,73,
236,8,true,73,
237,9,true,73,
238,107,true,73,
239,105,true,73,
240,106,true,73,
241,105,true,73,
242,106,true,73,
243,107,true,73,
244,106,true,73,
245,106,true,73,
246,108,true,73,
247,106,true,73,
248,9,true,73,
249,10,true,73,
251,10,true,73,
250,11,true,73,
252,10,true,73,
253,10,true,73,
254,9,true,73,
255,10,true,73,
256,9,true,73,
257,9,true,73,
258,11,true,73,
259,10,true,73,
260,9,true,73,
261,8,true,73,
262,10,true,73,
263,9,true,73,
264,9,true,73,
265,9,true,73,
266,10,true,73,
267,9,true,73,
271,6,true,73,
268,10,true,73,
269,10,true,73,
270,10,true,73,
272,9,true,73,
273,9,true,73,
274,10,true,73,
275,9,true,73,
276,10,true,73,
277,10,true,73,
278,10,true,73,
279,9,true,73,
280,9,true,73,
281,9,true,73,
282,10,true,73,
283,10,true,73,
284,10,true,73,
285,10,true,73,
286,8,true,73,
287,9,true,73,
288,8,true,73,
289,9,true,73,
290,10,true,73,
291,9,true,73,
292,8,true,73,
293,8,true,73,
294,7,true,73,
295,7,true,73,
296,7,true,73,
297,7,true,73,
298,102,true,75,
299,101,true,75,
