i,latency_ms,valid,bridge_ram_mb,system_ram_mb
0,7,false,0,
1,7,false,0,
2,7,false,0,
3,8,false,0,
4,8,false,0,
5,10,false,0,
6,11,false,0,
7,12,false,0,
8,12,false,0,
9,13,false,0,
10,14,false,0,
12,13,false,0,
11,14,false,0,
13,15,false,0,
14,17,false,0,
15,18,false,0,
16,19,false,0,
17,19,false,0,
18,20,false,0,
19,21,false,0,
20,19,false,0,
21,19,false,0,
22,19,false,0,
23,19,false,0,
24,20,false,0,
25,19,false,0,
26,20,false,0,
27,20,false,0,
28,21,false,0,
29,22,false,0,
30,21,false,0,
31,22,false,0,
32,20,false,0,
33,21,false,0,
34,20,false,0,
35,19,false,0,
36,19,false,0,
37,18,false,0,
38,19,false,0,
39,19,false,0,
40,20,false,0,
41,20,false,0,
42,20,false,0,
43,19,false,0,
44,19,false,0,
45,19,false,0,
46,20,false,0,
47,20,false,0,
48,18,false,0,
49,18,false,0,
50,17,false,0,
51,18,false,0,
52,17,false,0,
53,17,false,0,
54,17,false,0,
55,17,false,0,
56,18,false,0,
57,18,false,0,
58,17,false,0,
59,18,false,0,
60,17,false,0,
61,17,false,0,
62,17,false,0,
63,18,false,0,
64,18,false,0,
65,18,false,0,
66,17,false,0,
67,17,false,0,
68,17,false,0,
69,18,false,0,
70,17,false,0,
71,18,false,0,
72,18,false,0,
73,18,false,0,
74,18,false,0,
75,18,false,0,
76,18,false,0,
77,17,false,0,
78,19,false,0,
79,20,false,0,
80,16,false,0,
81,16,false,0,
82,16,false,0,
83,16,false,0,
84,16,false,0,
85,16,false,0,
86,17,false,0,
87,17,false,0,
88,18,false,0,
89,17,false,0,
90,18,false,0,
91,18,false,0,
92,18,false,0,
93,20,false,0,
94,20,false,0,
95,20,false,0,
96,20,false,0,
97,20,false,0,
98,17,false,0,
99,18,false,0,
100,17,false,0,
101,18,false,0,
102,17,false,0,
103,17,false,0,
104,17,false,0,
105,17,false,0,
106,17,false,0,
107,17,false,0,
108,17,false,0,
109,16,false,0,
110,17,false,0,
111,17,false,0,
112,16,false,0,
113,16,false,0,
114,15,false,0,
115,16,false,0,
116,16,false,0,
117,16,false,0,
118,16,false,0,
119,16,false,0,
120,16,false,0,
121,16,false,0,
122,16,false,0,
123,17,false,0,
124,16,false,0,
125,17,false,0,
126,17,false,0,
127,18,false,0,
128,18,false,0,
129,18,false,0,
130,19,false,0,
131,18,false,0,
132,18,false,0,
133,19,false,0,
134,18,false,0,
135,18,false,0,
136,18,false,0,
137,18,false,0,
138,19,false,0,
139,19,false,0,
140,19,false,0,
141,20,false,0,
142,19,false,0,
143,19,false,0,
144,19,false,0,
145,22,false,0,
146,18,false,0,
147,17,false,0,
148,18,false,0,
149,18,false,0,
150,17,false,0,
151,17,false,0,
152,17,false,0,
153,18,false,0,
154,18,false,0,
155,18,false,0,
156,18,false,0,
157,18,false,0,
158,18,false,0,
159,122,false,47,
160,124,false,47,
161,124,false,47,
162,123,false,47,
163,122,false,47,
164,123,false,47,
165,121,false,47,
166,121,false,47,
167,120,false,47,
168,120,false,47,
169,121,false,47,
170,120,false,47,
171,121,false,47,
172,120,false,47,
173,122,false,47,
174,121,false,47,
175,121,false,47,
176,122,false,47,
177,121,false,47,
178,122,false,47,
179,18,false,47,
180,17,false,47,
181,17,false,47,
182,17,false,47,
183,17,false,47,
184,17,false,47,
185,17,false,47,
186,16,false,47,
187,16,false,47,
188,17,false,47,
189,16,false,47,
190,17,false,47,
191,17,false,47,
192,18,false,47,
193,16,false,47,
194,16,false,47,
195,17,false,47,
196,16,false,47,
197,17,false,47,
198,16,false,47,
199,17,false,47,
200,17,false,47,
201,17,false,47,
202,18,false,47,
203,17,false,47,
204,18,false,47,
205,18,false,47,
206,18,false,47,
207,19,false,47,
208,18,false,47,
209,19,false,47,
210,19,false,47,
211,18,false,47,
212,18,false,47,
213,123,false,47,
214,123,false,47,
215,123,false,47,
216,123,false,47,
217,123,false,47,
218,123,false,47,
219,123,false,47,
220,123,false,47,
221,124,false,47,
222,123,false,47,
223,123,false,47,
224,123,false,47,
225,122,false,47,
226,124,false,47,
227,123,false,47,
228,123,false,47,
229,123,false,47,
230,123,false,47,
231,123,false,47,
232,122,false,47,
233,14,false,47,
234,15,false,47,
235,14,false,47,
236,15,false,47,
237,15,false,47,
238,14,false,47,
239,15,false,47,
240,16,false,47,
241,16,false,47,
242,16,false,47,
243,16,false,47,
244,17,false,47,
245,18,false,47,
246,16,false,47,
247,17,false,47,
248,17,false,47,
249,17,false,47,
250,17,false,47,
251,18,false,47,
258,14,false,47,
252,18,false,47,
253,18,false,47,
254,19,false,47,
255,20,false,47,
256,20,false,47,
257,20,false,47,
259,17,false,47,
260,18,false,47,
261,17,false,47,
262,17,false,47,
263,18,false,47,
264,18,false,47,
265,16,false,47,
266,16,false,47,
267,17,false,47,
268,17,false,47,
269,17,false,47,
270,17,false,47,
271,17,false,47,
272,17,false,47,
273,17,false,47,
274,119,false,47,
275,117,false,47,
276,117,false,47,
277,116,false,47,
278,117,false,47,
279,117,false,47,
280,118,false,47,
281,118,false,47,
282,118,false,47,
283,117,false,47,
284,117,false,47,
285,118,false,47,
286,117,false,47,
287,116,false,47,
288,116,false,47,
289,115,false,47,
290,116,false,47,
291,116,false,47,
292,116,false,47,
293,115,false,47,
294,14,false,47,
295,13,false,47,
296,12,false,47,
297,13,false,47,
298,12,false,47,
299,9,false,47,
