i,latency_ms,valid,bridge_ram_mb,system_ram_mb
0,7,true,0,
2,8,true,0,
1,9,true,0,
3,10,true,0,
4,11,true,0,
5,10,true,0,
6,11,true,0,
7,12,true,0,
8,13,true,0,
9,14,true,0,
10,14,true,0,
11,15,true,0,
12,16,true,0,
13,16,true,0,
14,17,true,0,
15,17,true,0,
16,17,true,0,
17,18,true,0,
18,21,true,0,
19,22,true,0,
20,18,true,0,
21,18,true,0,
22,19,true,0,
23,19,true,0,
24,19,true,0,
25,19,true,0,
26,19,true,0,
27,19,true,0,
28,19,true,0,
29,20,true,0,
30,20,true,0,
31,21,true,0,
32,21,true,0,
33,21,true,0,
34,21,true,0,
35,21,true,0,
36,21,true,0,
37,21,true,0,
38,19,true,0,
39,19,true,0,
40,22,true,0,
41,21,true,0,
42,21,true,0,
43,21,true,0,
44,21,true,0,
45,21,true,0,
46,21,true,0,
47,21,true,0,
48,21,true,0,
49,20,true,0,
50,32,true,0,
51,37,true,0,
52,38,true,0,
53,38,true,0,
54,38,true,0,
55,40,true,0,
56,39,true,0,
57,40,true,0,
58,40,true,0,
59,39,true,0,
60,37,true,0,
61,37,true,0,
62,40,true,0,
63,40,true,0,
64,40,true,0,
65,40,true,0,
66,41,true,0,
67,42,true,0,
68,42,true,0,
69,31,true,0,
70,29,true,0,
71,23,true,0,
72,23,true,0,
73,23,true,0,
74,23,true,0,
75,22,true,0,
76,22,true,0,
77,22,true,0,
78,22,true,0,
79,24,true,0,
80,23,true,0,
81,23,true,0,
82,19,true,0,
83,19,true,0,
84,19,true,0,
85,19,true,0,
86,18,true,0,
87,19,true,0,
88,19,true,0,
89,20,true,0,
90,19,true,0,
91,19,true,0,
92,21,true,0,
93,20,true,0,
94,20,true,0,
95,18,true,0,
96,18,true,0,
97,18,true,0,
98,20,true,0,
99,18,true,0,
100,17,true,0,
101,18,true,0,
102,18,true,0,
103,17,true,0,
104,18,true,0,
105,17,true,0,
106,18,true,0,
107,17,true,0,
108,17,true,0,
109,17,true,0,
110,18,true,0,
111,19,true,0,
112,18,true,0,
113,18,true,0,
114,19,true,0,
115,18,true,0,
116,19,true,0,
117,19,true,0,
118,18,true,0,
119,17,true,0,
120,19,true,0,
121,19,true,0,
122,19,true,0,
123,19,true,0,
124,19,true,0,
125,19,true,0,
126,111,true,85,
127,108,true,85,
128,109,true,85,
129,109,true,85,
130,108,true,85,
131,109,true,85,
132,110,true,85,
133,110,true,85,
134,109,true,85,
135,109,true,85,
136,110,true,85,
137,111,true,85,
138,110,true,85,
139,110,true,85,
140,109,true,85,
141,110,true,85,
142,110,true,85,
143,110,true,85,
144,111,true,85,
145,112,true,85,
146,20,true,85,
147,20,true,85,
148,21,true,85,
149,21,true,85,
150,23,true,85,
151,21,true,85,
152,20,true,85,
153,21,true,85,
154,21,true,85,
155,21,true,85,
156,22,true,85,
157,22,true,85,
158,22,true,85,
159,22,true,85,
160,23,true,85,
161,22,true,85,
162,23,true,85,
163,22,true,85,
164,22,true,85,
165,21,true,85,
166,21,true,85,
167,21,true,85,
168,23,true,85,
169,24,true,85,
170,20,true,85,
171,20,true,85,
172,19,true,85,
173,19,true,85,
174,19,true,85,
175,19,true,85,
176,16,true,85,
177,17,true,85,
178,17,true,85,
179,19,true,85,
180,18,true,85,
181,18,true,85,
182,18,true,85,
183,18,true,85,
184,19,true,85,
185,19,true,85,
186,19,true,85,
187,19,true,85,
188,107,true,85,
189,106,true,85,
190,106,true,85,
191,106,true,85,
192,106,true,85,
193,106,true,85,
194,106,true,85,
195,106,true,85,
196,106,true,85,
197,106,true,85,
198,106,true,85,
199,104,true,85,
200,106,true,85,
201,106,true,85,
202,106,true,85,
203,106,true,85,
204,105,true,85,
205,106,true,85,
206,104,true,85,
207,105,true,85,
208,16,true,85,
209,16,true,85,
210,16,true,85,
211,16,true,85,
212,17,true,85,
213,16,true,85,
214,17,true,85,
215,16,true,85,
216,17,true,85,
217,16,true,85,
218,18,true,85,
219,18,true,85,
220,16,true,85,
221,16,true,85,
222,16,true,85,
223,16,true,85,
224,16,true,85,
225,15,true,85,
226,14,true,85,
227,15,true,85,
228,16,true,85,
229,16,true,85,
230,17,true,85,
231,16,true,85,
232,16,true,85,
233,18,true,85,
234,17,true,85,
235,17,true,85,
236,17,true,85,
237,17,true,85,
238,15,true,85,
239,16,true,85,
240,16,true,85,
241,16,true,85,
242,16,true,85,
243,16,true,85,
244,17,true,85,
245,19,true,85,
246,19,true,85,
247,19,true,85,
248,16,true,85,
249,16,true,85,
250,16,true,85,
251,15,true,85,
252,16,true,85,
253,17,true,85,
254,18,true,85,
255,18,true,85,
256,18,true,85,
257,18,true,85,
258,19,true,85,
259,19,true,85,
260,19,true,85,
261,19,true,85,
262,18,true,85,
263,18,true,85,
264,105,true,85,
265,103,true,85,
266,103,true,85,
267,103,true,85,
268,103,true,85,
269,102,true,85,
270,103,true,85,
271,102,true,85,
272,103,true,85,
273,101,true,85,
274,102,true,85,
275,102,true,85,
276,101,true,85,
277,102,true,85,
278,100,true,85,
279,101,true,85,
280,102,true,85,
281,101,true,85,
282,101,true,85,
283,102,true,85,
284,16,true,85,
285,17,true,85,
286,16,true,85,
287,17,true,85,
288,16,true,85,
289,17,true,85,
290,16,true,85,
291,17,true,85,
292,16,true,85,
293,15,true,85,
294,14,true,85,
295,13,true,85,
296,14,true,85,
297,13,true,85,
298,13,true,85,
299,12,true,85,
