i,latency_ms,valid,bridge_ram_mb,system_ram_mb
0,2,true,0,
4,3,true,0,
1,4,true,0,
2,5,true,0,
3,6,true,0,
5,4,true,0,
6,4,true,0,
7,5,true,0,
8,5,true,0,
9,4,true,0,
10,4,true,0,
11,5,true,0,
12,6,true,0,
13,6,true,0,
14,6,true,0,
15,6,true,0,
16,6,true,0,
17,6,true,0,
18,7,true,0,
19,6,true,0,
20,6,true,0,
21,5,true,0,
22,5,true,0,
23,5,true,0,
24,5,true,0,
25,5,true,0,
26,5,true,0,
27,5,true,0,
28,17,true,0,
29,19,true,0,
30,20,true,0,
31,22,true,0,
32,12,true,0,
33,10,true,0,
34,9,true,0,
35,8,true,0,
36,8,true,0,
37,8,true,0,
38,7,true,0,
39,8,true,0,
40,7,true,0,
41,6,true,0,
42,7,true,0,
43,7,true,0,
44,7,true,0,
45,7,true,0,
46,6,true,0,
47,6,true,0,
48,6,true,0,
49,6,true,0,
50,4,true,0,
51,5,true,0,
52,4,true,0,
53,6,true,0,
54,6,true,0,
55,6,true,0,
56,6,true,0,
57,5,true,0,
58,4,true,0,
61,3,true,0,
59,6,true,0,
60,6,true,0,
62,4,true,0,
63,5,true,0,
64,5,true,0,
65,5,true,0,
66,4,true,0,
67,4,true,0,
68,5,true,0,
69,5,true,0,
70,4,true,0,
71,5,true,0,
72,4,true,0,
73,5,true,0,
76,2,true,0,
74,5,true,0,
75,5,true,0,
77,5,true,0,
78,4,true,0,
81,2,true,0,
79,5,true,0,
80,6,true,0,
82,5,true,0,
83,4,true,0,
84,5,true,0,
85,5,true,0,
86,5,true,0,
87,5,true,0,
88,5,true,0,
89,5,true,0,
90,5,true,0,
91,4,true,0,
92,5,true,0,
93,5,true,0,
94,5,true,0,
95,5,true,0,
96,5,true,0,
97,5,true,0,
98,6,true,0,
99,6,true,0,
100,6,true,0,
101,6,true,0,
102,5,true,0,
103,5,true,0,
104,5,true,0,
105,6,true,0,
106,6,true,0,
107,6,true,0,
108,5,true,0,
109,5,true,0,
110,5,true,0,
111,5,true,0,
112,5,true,0,
113,5,true,0,
114,5,true,0,
115,5,true,0,
116,5,true,0,
117,5,true,0,
118,5,true,0,
119,95,true,68,
120,95,true,68,
121,95,true,68,
122,95,true,68,
123,95,true,68,
124,5,true,68,
125,5,true,68,
126,6,true,68,
127,6,true,68,
128,5,true,68,
129,6,true,68,
130,6,true,68,
131,5,true,68,
134,3,true,68,
132,6,true,68,
133,6,true,68,
135,5,true,68,
136,4,true,68,
137,6,true,68,
138,5,true,68,
139,6,true,68,
140,6,true,68,
141,6,true,68,
142,5,true,68,
143,6,true,68,
144,6,true,68,
145,5,true,68,
146,5,true,68,
147,5,true,68,
148,6,true,68,
149,6,true,68,
150,5,true,68,
151,6,true,68,
152,5,true,68,
153,6,true,68,
154,5,true,68,
155,6,true,68,
156,6,true,68,
157,6,true,68,
158,5,true,68,
159,6,true,68,
160,5,true,68,
161,5,true,68,
162,5,true,68,
163,6,true,68,
164,5,true,68,
165,5,true,68,
166,6,true,68,
167,6,true,68,
168,6,true,68,
169,5,true,68,
170,6,true,68,
171,90,true,68,
172,90,true,68,
173,89,true,68,
174,89,true,68,
175,89,true,68,
176,5,true,68,
177,4,true,68,
178,5,true,68,
179,4,true,68,
180,5,true,68,
181,4,true,68,
182,4,true,68,
183,5,true,68,
184,5,true,68,
185,5,true,68,
186,5,true,68,
187,6,true,68,
188,6,true,68,
189,5,true,68,
190,5,true,68,
191,5,true,68,
192,6,true,68,
193,5,true,68,
194,6,true,68,
195,5,true,68,
196,5,true,68,
197,4,true,68,
198,4,true,68,
199,4,true,68,
200,4,true,68,
201,4,true,68,
202,4,true,68,
203,5,true,68,
204,4,true,68,
205,5,true,68,
206,5,true,68,
207,5,true,68,
208,5,true,68,
209,5,true,68,
210,5,true,68,
211,6,true,68,
212,6,true,68,
213,6,true,68,
214,6,true,68,
215,7,true,68,
216,6,true,68,
217,5,true,68,
218,6,true,68,
219,5,true,68,
220,5,true,68,
221,4,true,68,
222,4,true,68,
223,5,true,68,
224,5,true,68,
225,5,true,68,
226,5,true,68,
227,5,true,68,
228,5,true,68,
229,6,true,68,
230,6,true,68,
231,5,true,68,
232,5,true,68,
233,5,true,68,
234,89,true,68,
235,89,true,68,
236,89,true,68,
237,89,true,68,
238,89,true,68,
239,4,true,68,
240,5,true,68,
241,4,true,68,
242,5,true,68,
243,5,true,68,
244,5,true,68,
245,5,true,68,
246,4,true,68,
247,5,true,68,
248,4,true,68,
249,4,true,68,
250,4,true,68,
251,5,true,68,
252,4,true,68,
253,4,true,68,
254,4,true,68,
255,5,true,68,
256,5,true,68,
259,3,true,68,
257,5,true,68,
258,5,true,68,
260,5,true,68,
261,5,true,68,
262,5,true,68,
263,4,true,68,
264,5,true,68,
265,5,true,68,
266,5,true,68,
267,5,true,68,
268,4,true,68,
269,4,true,68,
270,5,true,68,
271,5,true,68,
274,2,true,68,
272,5,true,68,
273,5,true,68,
275,5,true,68,
276,4,true,68,
277,4,true,68,
278,5,true,68,
279,5,true,68,
280,4,true,68,
281,4,true,68,
282,5,true,68,
283,5,true,68,
284,5,true,68,
285,6,true,68,
286,6,true,68,
290,2,true,68,
287,6,true,68,
288,7,true,68,
289,7,true,68,
291,5,true,68,
294,3,true,68,
292,6,true,68,
293,7,true,68,
295,5,true,68,
296,4,true,68,
297,5,true,68,
298,4,true,68,
299,3,true,68,
