i,latency_ms,valid,bridge_ram_mb,system_ram_mb
0,8,true,0,
1,10,true,0,
2,10,true,0,
3,12,true,0,
4,13,true,0,
5,14,true,0,
6,15,true,0,
7,16,true,0,
8,17,true,0,
9,18,true,0,
10,19,true,0,
11,19,true,0,
12,22,true,0,
13,23,true,0,
14,23,true,0,
15,24,true,0,
16,25,true,0,
17,26,true,0,
18,27,true,0,
19,27,true,0,
20,22,true,0,
21,22,true,0,
22,21,true,0,
23,23,true,0,
24,24,true,0,
25,24,true,0,
26,23,true,0,
27,23,true,0,
28,25,true,0,
29,25,true,0,
30,25,true,0,
31,24,true,0,
32,23,true,0,
33,23,true,0,
34,24,true,0,
35,24,true,0,
36,25,true,0,
37,25,true,0,
38,24,true,0,
39,26,true,0,
40,26,true,0,
41,26,true,0,
42,25,true,0,
43,22,true,0,
44,21,true,0,
45,21,true,0,
46,21,true,0,
47,20,true,0,
48,22,true,0,
49,22,true,0,
50,23,true,0,
51,22,true,0,
52,22,true,0,
53,25,true,0,
54,24,true,0,
55,24,true,0,
56,24,true,0,
57,24,true,0,
58,24,true,0,
59,23,true,0,
60,24,true,0,
61,25,true,0,
62,25,true,0,
63,25,true,0,
64,25,true,0,
65,26,true,0,
66,26,true,0,
67,28,true,0,
68,27,true,0,
69,27,true,0,
70,27,true,0,
71,27,true,0,
72,29,true,0,
73,28,true,0,
74,28,true,0,
75,28,true,0,
76,28,true,0,
77,28,true,0,
78,29,true,0,
79,27,true,0,
80,30,true,0,
81,29,true,0,
82,29,true,0,
83,28,true,0,
84,29,true,0,
85,29,true,0,
86,29,true,0,
87,27,true,0,
88,25,true,0,
89,24,true,0,
90,27,true,0,
91,27,true,0,
92,26,true,0,
93,26,true,0,
94,26,true,0,
95,27,true,0,
96,27,true,0,
97,28,true,0,
98,27,true,0,
99,28,true,0,
100,26,true,0,
101,26,true,0,
102,26,true,0,
103,26,true,0,
104,27,true,0,
105,27,true,0,
106,26,true,0,
107,26,true,0,
108,26,true,0,
109,26,true,0,
110,23,true,0,
111,26,true,0,
112,136,true,62,
113,136,true,62,
114,136,true,62,
115,136,true,62,
116,135,true,62,
117,134,true,62,
118,135,true,62,
119,132,true,62,
120,132,true,62,
121,135,true,62,
122,135,true,62,
123,134,true,62,
124,134,true,62,
125,134,true,62,
126,134,true,62,
127,135,true,62,
128,134,true,62,
129,135,true,62,
130,135,true,62,
131,132,true,62,
132,23,true,62,
133,23,true,62,
134,24,true,62,
135,24,true,62,
136,25,true,62,
137,25,true,62,
138,25,true,62,
139,25,true,62,
140,26,true,62,
141,25,true,62,
142,25,true,62,
143,25,true,62,
144,25,true,62,
145,135,true,62,
146,134,true,62,
147,134,true,62,
148,134,true,62,
149,133,true,62,
150,135,true,62,
151,135,true,62,
152,131,true,62,
153,131,true,62,
154,130,true,62,
155,132,true,62,
156,131,true,62,
157,131,true,62,
158,130,true,62,
159,131,true,62,
160,132,true,62,
161,130,true,62,
162,132,true,62,
163,132,true,62,
164,133,true,62,
165,24,true,62,
166,24,true,62,
167,25,true,62,
168,24,true,62,
169,25,true,62,
170,22,true,62,
171,23,true,62,
172,22,true,62,
173,25,true,62,
174,25,true,62,
175,25,true,62,
176,25,true,62,
177,24,true,62,
178,25,true,62,
179,25,true,62,
180,25,true,62,
181,25,true,62,
182,22,true,62,
183,24,true,62,
184,24,true,62,
185,23,true,62,
186,138,true,62,
187,138,true,62,
188,138,true,62,
189,138,true,62,
190,138,true,62,
191,138,true,62,
192,138,true,62,
193,136,true,62,
194,138,true,62,
195,138,true,62,
196,137,true,62,
197,137,true,62,
198,137,true,62,
199,137,true,62,
200,137,true,62,
201,136,true,62,
202,137,true,62,
203,136,true,62,
204,135,true,62,
205,136,true,62,
206,23,true,62,
207,24,true,62,
208,23,true,62,
209,23,true,62,
210,23,true,62,
211,24,true,62,
212,23,true,62,
213,27,true,62,
214,25,true,62,
215,25,true,62,
216,25,true,62,
217,25,true,62,
218,25,true,62,
219,26,true,62,
220,127,true,60,
221,127,true,60,
222,126,true,60,
223,127,true,60,
224,128,true,60,
225,127,true,60,
226,126,true,60,
227,125,true,60,
228,125,true,60,
229,126,true,60,
230,125,true,60,
231,125,true,60,
232,126,true,60,
233,123,true,60,
234,122,true,60,
235,124,true,60,
236,124,true,60,
237,124,true,60,
238,124,true,60,
239,125,true,60,
240,24,true,60,
241,24,true,60,
242,24,true,60,
243,22,true,60,
244,22,true,60,
245,23,true,60,
246,23,true,60,
247,23,true,60,
248,26,true,60,
249,26,true,60,
250,26,true,60,
251,27,true,60,
252,26,true,60,
253,25,true,60,
254,25,true,60,
255,22,true,60,
256,22,true,60,
257,23,true,60,
258,23,true,60,
259,149,true,60,
260,151,true,60,
261,151,true,60,
262,150,true,60,
263,150,true,60,
264,149,true,60,
265,149,true,60,
266,149,true,60,
267,150,true,60,
268,147,true,60,
269,147,true,60,
270,150,true,60,
271,151,true,60,
272,151,true,60,
273,151,true,60,
274,152,true,60,
275,151,true,60,
276,151,true,60,
277,151,true,60,
278,150,true,60,
279,803,true,60,
280,804,true,60,
281,804,true,60,
282,803,true,60,
283,803,true,60,
284,803,true,60,
285,803,true,60,
286,804,true,60,
287,802,true,60,
288,802,true,60,
289,1124,true,60,
290,1121,true,60,
291,1121,true,60,
292,1121,true,60,
293,1120,true,60,
294,1120,true,60,
295,1120,true,60,
296,1120,true,60,
297,1120,true,60,
298,1331,true,60,
299,847,true,60,
