i,latency_ms,valid,bridge_ram_mb,system_ram_mb
0,5,true,0,
1,4,true,0,
2,3,true,0,
3,4,true,0,
4,3,true,0,
5,4,true,0,
6,4,true,0,
7,4,true,0,
8,4,true,0,
9,4,true,0,
10,3,true,0,
11,4,true,0,
12,3,true,0,
13,3,true,0,
14,3,true,0,
15,3,true,0,
16,4,true,0,
17,3,true,0,
18,3,true,0,
19,2,true,0,
20,3,true,0,
21,3,true,0,
22,3,true,0,
23,3,true,0,
24,3,true,0,
25,3,true,0,
26,3,true,0,
27,3,true,0,
28,3,true,0,
29,3,true,0,
30,3,true,0,
31,3,true,0,
32,3,true,0,
33,2,true,0,
34,2,true,0,
35,2,true,0,
36,2,true,0,
37,2,true,0,
38,3,true,0,
39,3,true,0,
40,3,true,0,
41,3,true,0,
42,742,true,56,
43,498,true,56,
44,505,true,56,
45,493,true,56,
46,503,true,56,
47,500,true,56,
48,530,true,56,
49,517,true,56,
50,541,true,56,
51,509,true,56,
52,535,true,56,
53,504,true,56,
54,511,true,56,
55,495,true,56,
56,510,true,56,
57,499,true,48,
58,509,true,47,
59,503,true,47,
60,552,true,47,
61,564,true,47,
62,531,true,47,
63,499,true,47,
64,512,true,47,
65,506,true,47,
66,524,true,47,
67,560,true,47,
68,527,true,47,
69,522,true,47,
70,507,true,47,
71,529,true,47,
72,529,true,48,
73,501,true,48,
74,494,true,48,
75,511,true,48,
76,530,true,48,
77,494,true,48,
78,491,true,48,
79,497,true,47,
80,483,true,47,
81,502,true,47,
82,489,true,47,
83,496,true,47,
84,490,true,47,
85,505,true,47,
86,487,true,47,
87,492,true,47,
88,490,true,47,
89,491,true,47,
90,492,true,48,
91,497,true,48,
92,487,true,48,
93,481,true,48,
94,494,true,48,
95,501,true,48,
96,511,true,48,
97,517,true,47,
98,554,true,47,
99,521,true,47,
100,521,true,47,
101,544,true,47,
102,494,true,47,
103,492,true,47,
104,487,true,47,
105,487,true,48,
106,486,true,48,
107,490,true,48,
108,688,true,48,
109,547,true,48,
110,523,true,48,
111,503,true,48,
112,492,true,48,
113,507,true,48,
114,545,true,48,
115,511,true,47,
116,608,true,47,
117,562,true,47,
118,543,true,47,
119,593,true,48,
120,616,true,48,
121,620,true,48,
122,617,true,48,
123,540,true,48,
124,554,true,48,
125,554,true,48,
126,550,true,48,
127,525,true,48,
128,498,true,48,
129,502,true,48,
130,501,true,48,
131,507,true,48,
132,518,true,48,
133,512,true,48,
134,519,true,48,
135,504,true,48,
136,498,true,48,
137,537,true,48,
138,508,true,48,
139,538,true,48,
140,513,true,48,
141,511,true,48,
142,509,true,48,
143,505,true,48,
144,512,true,48,
145,504,true,48,
146,490,true,48,
147,538,true,48,
148,532,true,48,
149,530,true,48,
150,495,true,48,
151,526,true,48,
152,513,true,48,
153,521,true,48,
154,503,true,48,
155,498,true,48,
156,478,true,48,
157,534,true,48,
158,673,true,48,
159,524,true,48,
160,533,true,48,
161,547,true,48,
162,534,true,48,
163,522,true,48,
164,512,true,48,
165,512,true,48,
166,536,true,48,
167,512,true,48,
168,525,true,48,
169,519,true,49,
170,514,true,48,
171,519,true,48,
172,531,true,48,
173,533,true,48,
174,541,true,48,
175,621,true,48,
176,526,true,48,
177,536,true,48,
178,541,true,48,
179,530,true,48,
180,547,true,48,
181,538,true,48,
182,529,true,48,
183,682,true,48,
184,522,true,48,
185,514,true,48,
186,531,true,48,
187,530,true,48,
188,543,true,49,
189,548,true,48,
190,518,true,48,
